hsd_id,platform,owner,root_cause,related_case_count,owner_agreement,rca_agreement,validation_signals,consensus_score,suggested_tier,blockers,recommendation
13011141642,SRF,jessielu,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
13011141646,SRF,jessielu,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
13011884694,SRF,avalcara,,32,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
13013365493,UNKNOWN,shashish,,37,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13013365497,UNKNOWN,hkuzhicx,,31,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13013367911,UNKNOWN,shashish,,31,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13014085149,UNKNOWN,ryakkati,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14018115093,GNR,aschofie,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14018231367,GNR,diegog3,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14018627016,GNR,yeyun,,24,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14019226746,SRF,rubenher,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14019463740,UNKNOWN,diegog3,,38,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14019480071,UNKNOWN,rsg,,26,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14019682645,GNR,oxavelar,,8,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14022039307,UNKNOWN,vimarti,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14023430059,CWF,vseethar,,28,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14023750934,CWF,gmuppala,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14023779609,CWF,gmuppala,,15,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14023960264,CWF,gmuppala,,19,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14024432197,UNKNOWN,grp_phoenix_admin,,39,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14024625060,SRF,pvthomas,,21,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
14024889393,UNKNOWN,jambrizm,,22,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14024938608,UNKNOWN,psyamsux,,28,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025015656,UNKNOWN,anjaliya,,15,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
