platform,hsd_id,domain,status,owner,root_cause_summary,evidence_score,fix_validation_present,comments_present,attachments_present,validation_evidence,suggested_tier,why_selected,rejection_reasons,missing_evidence,promote_eligible,approval_status,human_approval,source_query_id,bank,socket,mcacod,mscod,reporting_ip,originating_ip
CWF,14023430059,MCA,rejected,vseethar,,70,Yes,Yes,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS,,NO,REJECTED,PENDING,16027357901,,,,,,
UNKNOWN,13013365493,MCA,rejected,shashish,,60,Yes,Yes,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013365497,MCA,rejected,hkuzhicx,,50,Yes,Yes,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,NO,REJECTED,PENDING,16027523187,,,,,,
SRF,13011141641,MCA,rejected,linmatt2,,45,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
UNKNOWN,14021933054,PCIe/CXL,open,jquianzo,,40,Yes,Yes,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,14022039307,PCIe/CXL,open,vimarti,,40,Yes,Yes,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,NO,REJECTED,PENDING,16022833305,,,,,,
CWF,14023779609,MCA,rejected,gmuppala,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027357901,,,,,,
GNR,13010785700,MCA,rejected,dtoralva,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010785701,MCA,rejected,dtoralva,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010785702,MCA,rejected,dtoralva,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
