HSD_ID,Platform,Owner,Root_Cause,EvidenceScore,ConsensusScore,ValidationSignals,AttachmentQuality,ClosureQuality,Confidence,ReferenceRank,ReferenceStatus,Limitations
13011141642,SRF,jessielu,,50,100,1,0,0,85,1,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
13011141646,SRF,jessielu,,50,100,1,0,0,85,2,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
13011884694,SRF,avalcara,,50,100,1,0,0,85,3,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
13013365493,UNKNOWN,shashish,,50,100,1,0,0,85,4,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
13013365497,UNKNOWN,hkuzhicx,,50,100,1,0,0,85,5,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
13013367911,UNKNOWN,shashish,,50,100,1,0,0,85,6,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
13014085149,UNKNOWN,ryakkati,,50,100,1,0,0,85,7,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14018115093,GNR,aschofie,,50,100,1,0,0,85,8,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14018231367,GNR,diegog3,,50,100,1,0,0,85,9,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14018627016,GNR,yeyun,,50,100,1,0,0,85,10,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14019226746,SRF,rubenher,,50,100,1,0,0,85,11,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14019463740,UNKNOWN,diegog3,,50,100,1,0,0,85,12,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14019480071,UNKNOWN,rsg,,50,100,1,0,0,85,13,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14019682645,GNR,oxavelar,,50,100,1,0,0,85,14,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14022039307,UNKNOWN,vimarti,,50,100,1,0,0,85,15,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14023430059,CWF,vseethar,,50,100,1,0,0,85,16,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14023750934,CWF,gmuppala,,50,100,1,0,0,85,17,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14023779609,CWF,gmuppala,,50,100,1,0,0,85,18,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14023960264,CWF,gmuppala,,50,100,1,0,0,85,19,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14024432197,UNKNOWN,grp_phoenix_admin,,50,100,1,0,0,85,20,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14024625060,SRF,pvthomas,,50,100,1,0,0,85,21,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14024889393,UNKNOWN,jambrizm,,50,100,1,0,0,85,22,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14024938608,UNKNOWN,psyamsux,,50,100,1,0,0,85,23,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
