"atscale_hsd_id","atscale_hsd_link","confirmed_via","bugeco_hsd_ids","rootcause_sighting","component_nature","defect_history","codename","priority","status","resolution","title"
"14015032086","https://hsdes.intel.com/appstore/article/#/14015032086","bugeco","1308560873;1309522432;1309345419","","","","SPR","p2-high","complete","complete.product_changed","[SPR][RAS][Cluster] AMX tileloadd x Poison tests cause CPU shutdowns"
"14011352071","https://hsdes.intel.com/appstore/article/#/14011352071","sighting_hw.bug","","14011358274","hw.big_core","new","ICX","p1-showstopper","complete","complete","ICX segfault with sandstone content"
"14011439924","https://hsdes.intel.com/appstore/article/#/14011439924","sighting_hw.bug","","14011358274","hw.big_core","new","ICX","p2-high","complete","complete","[ICX][Whitley][Cluster][memcpy] Multiple systems failing Sandstone Combo Tests - memcpy tests as main failure signature"
"14013775827","https://hsdes.intel.com/appstore/article/#/14013775827","sighting_hw.bug","","22012523370","hw.big_core","known","SPR","p2-high","complete","complete.workaround","[Cluster][EGS SPR B0] spurious DTLB parity machine check"
"14013789944","https://hsdes.intel.com/appstore/article/#/14013789944","sighting_hw.bug","","22012599236","hw.big_core","new","SPR","p2-high","complete","complete.product_changed","[EGS][SPR B0,D0][Cluster][Lemongrass] Core 3-strike running sandstone-chaos"
"14026464067","https://hsdes.intel.com/appstore/article/#/14026464067","bugeco+sighting","13014355605","14026515562","hw.big_core","new","DMR","p2-high","complete","complete.product_changed","[DMR][BugNinja] System hang with 3Strike while running hammer-unified and C6 (MonitorMWait=0x1)"
"15019342741","https://hsdes.intel.com/appstore/article/#/15019342741","sighting_hw.bug","","22022400542","hw.big_core","known","DMR","p3-medium","open","open.transferred","[AtScale-Cluster][DMR][AP][ES1][RPP] L1 Instruction-Fetch MCE errors during sandstone branch_tree_icache_focused on jf11x1703as0110"
"15019357856","https://hsdes.intel.com/appstore/article/#/15019357856","sighting_hw.bug","","22022450926","hw.big_core","known","DMR","p3-medium","open","open.transferred","[AtScale-Cluster][DMR][AP][ES1][RPP] L1 Instruction-Fetch MCE errors during sandstone branch_tree_icache_focused on jf11x1703bs1107"
"15019358385","https://hsdes.intel.com/appstore/article/#/15019358385","sighting_hw.bug","","22022450920","hw.big_core","known","DMR","p3-medium","open","open.transferred","[AtScale-Cluster][DMR][AP][ES1][RPP] L1 Instruction-Fetch MCE errors during sandstone branch_tree_icache_focused on jf53nor09bs0301"
"15019382716","https://hsdes.intel.com/appstore/article/#/15019382716","sighting_hw.bug","","22022484440","hw.big_core","known","DMR","p3-medium","open","open.transferred","[AtScale-Cluster][DMR][AP][ES1][RPP][cs16ca101hs0405] L1 Instruction-Fetch MCE errors during sandstone branch_tree_icache_focused seed"
"15019383400","https://hsdes.intel.com/appstore/article/#/15019383400","sighting_hw.bug","","22022483185","hw.big_core","known","DMR","p3-medium","open","open.transferred","[AtScale-Cluster][DMR][AP][ES1][RPP] L1 Instruction-Fetch MCE errors during sandstone branch_tree_icache_focused seed in PAIV-Mixer_random_workload"
"1707238410","https://hsdes.intel.com/appstore/article/#/1707238410","sighting_hw.bug","","22010919712","hw.big_core","new","ICX","p2-high","complete","complete","[ICX-C0-XCC][Cluster][QOT-CAS] Mixer run with imunch results in uncorrectable error with only Core-0 in Hung State"
"22010039282","https://hsdes.intel.com/appstore/article/#/22010039282","bugeco+sighting","1306993191","1707081011","hw.big_core","new","ICX","p2-high","complete","complete","[ICX][Whitley][Cluster Power On][Sandstone] spinlock (all) tests failures"
"22011493992","https://hsdes.intel.com/appstore/article/#/22011493992","sighting_hw.bug","","14013019466","hw.big_core","known","SPR","p2-high","complete","complete","[Cluster][EGS SPR A2/B0][Sandstone Combo] Error found in ieh1.lerruncsts2 (PCIEGen4_RPA_DMI.PI5.0)"
"22014056631","https://hsdes.intel.com/appstore/article/#/22014056631","sighting_hw.bug","","14015246479","hw.big_core","new","SPR","p1-showstopper","complete","complete.product_changed","Mixer core 3-strike with sandstone tsx x bit_test, and DFV"
"14014613214","https://hsdes.intel.com/appstore/article/#/14014613214","sighting_hw.bug","","14014927973","hw.cha","new","SPR","p2-high","complete","complete.product_changed","[Cluster][GDC SPR D0] MCA_LLC_BIST_ACTIVE_TIMEOUT cold-reset + memory margin/reset"
"14012462331","https://hsdes.intel.com/appstore/article/#/14012462331","sighting_hw.bug","","22011223740","hw.configrom","new","SPR","p2-high","complete","complete","[SPR][Cluster] CORE_WB_MISS_LLC while running Sandstone-46"
"14015263050","https://hsdes.intel.com/appstore/article/#/14015263050","sighting_hw.bug","","14015712651","hw.dsa","known","SPR","p2-high","complete","complete.product_changed","[EGS SPR-D0][Cluster][RPP] DINO/HCA TOR TO while running Sandstone/Povray + Cold cycle"
"14026093607","https://hsdes.intel.com/appstore/article/#/14026093607","sighting_hw.bug","","14026147117","hw.dsa","known","DMR","p2-high","complete","complete.product_changed","[DMR][BugNinja] dsa_fill sandstone subtest is detecting incorrect data pattern (relaxed ordering = 1)"
"14015143476","https://hsdes.intel.com/appstore/article/#/14015143476","sighting_hw.bug","","22013879933","hw.mdf","new","SPR","p2-high","complete","complete.product_changed","[Cluster GDC][EGS SPR D0] MDF Parity Error seen during IDLE/ive-povray with ucode 0x2c0"
"16024409170","https://hsdes.intel.com/appstore/article/#/16024409170","sighting_hw.bug","","16025627513","hw.mdf","known","GNR","p2-high","complete","complete.product_changed","[KVL GNRD RP][Cluster] System reporting MCA error and not reachable while running sandstone - SBO_BL_DATA_PAR_ERR - IO/Compute"
"14016417265","https://hsdes.intel.com/appstore/article/#/14016417265","sighting_hw.bug","","14016425646","hw.memory","new","SPR","p1-showstopper","complete","complete.product_changed","[Cluster][SPR E3][Wave2] TME_CMI_UFL_ERR while running Sandstone-Warm/IMunch"
"22015416586","https://hsdes.intel.com/appstore/article/#/22015416586","sighting_hw.bug","","14017130518","hw.mesh","known","SPR","p4-low","complete","complete.product_changed","[Cluster][GDC SPR E3][RPP] UC LL Detected Control Error from M3UPI Socket 1 MCE 5 during povray/burnin-cold/warm"
"14015196045","https://hsdes.intel.com/appstore/article/#/14015196045","sighting_hw.bug","","14015213437","hw.ras","new","SPR","p1-showstopper","complete","complete.product_changed","[Cluster][GDC SPR D0] UBOX POISON error while running Sandstone within TDX Guest with WW35 MVP stack"
"14020056414","https://hsdes.intel.com/appstore/article/#/14020056414","sighting_hw.bug","","14020121468","hw.security","known","GNR","p2-high","complete","complete.product_changed","[Cluster][FLEX GNR-AP_X1_X3][Master] Memory Errors RETRY_RD_ERR_LOG_MCDDC_DP_REG class SRAR/DCU during sandstone-rf-warm"
"14019137156","https://hsdes.intel.com/appstore/article/#/14019137156","sighting_hw.bug","","15013397254","hw.small_core","new","SRF","p2-high","complete","complete.product_changed","[SRF A0 PO][RAS][VIS-1] Exercising Sandstone with poison error injection resulting in ROB timeout on few CMT modules"
"15016126803","https://hsdes.intel.com/appstore/article/#/15016126803","sighting_hw.bug","","14022573510","hw.small_core","new","SRF","p2-high","complete","complete.product_changed","[BHS SRF-SP][QS][CoVal][DELL][HS7][HSIO] Observe MCERR in GPU pytorch + Xprod_Home_Grown_XORCYST concurrency workload"
"16022337351","https://hsdes.intel.com/appstore/article/#/16022337351","sighting_hw.bug","","16022474859","hw.small_core","new","SRF","p2-high","complete","complete.product_changed","[Cluster][FLEX SRF A0/B0/C0][Master] Node hang MCA from BUS ERROR (mcacod:0x4 FRC Error) during sandstone-chaos (lockstep)"
"22019405820","https://hsdes.intel.com/appstore/article/#/22019405820","sighting_hw.bug","","14021492397","hw.uncore","new","GNR","p1-showstopper","complete","complete.workaround","[GNR AP B0 PO][Stability] Acode MCA_HAL_IOSF_BRIDGE_RUN_BUSY_TIMEOUT_E and Punit MCA_DISP_RUN_BUSY_TIMEOUT (GPSB hardhang) during G3 cycling or sandstone"
"14015800984","https://hsdes.intel.com/appstore/article/#/14015800984","sighting_hw.bug","","14015834143","hw.upi","new","SPR","p2-high","complete","complete.product_changed","[Cluster][GDC SPR D0-E0] UPI Bank5 Unmerged UPI UC LL Rx Parameter Exception Socket_1 during burnin/Cold_Reset"
"14016376372","https://hsdes.intel.com/appstore/article/#/14016376372","sighting_hw.bug","","14016404363","hw.upi","known","SPR","p4-low","complete","complete.product_changed","[EGS SPR-E0][Cluster][RPP] UPI CRC Errors UPI LL Rx detected CRC error successful LLR without Phy Reinit during sandstone stress"
