"component_nature","DMR","GNR","ICX","SPR","SRF","Total"
"hw.(bugeco-only)","0","0","0","1","0","1"
"hw.big_core","6","0","4","4","0","14"
"hw.cha","0","0","0","1","0","1"
"hw.configrom","0","0","0","1","0","1"
"hw.dsa","1","0","0","1","0","2"
"hw.mdf","0","1","0","1","0","2"
"hw.memory","0","0","0","1","0","1"
"hw.mesh","0","0","0","1","0","1"
"hw.ras","0","0","0","1","0","1"
"hw.security","0","1","0","0","0","1"
"hw.small_core","0","0","0","0","3","3"
"hw.uncore","0","1","0","0","0","1"
"hw.upi","0","0","0","3","0","3"
"TOTAL","7","3","4","15","3","32"
