id,priority,status_reason,suspect_area,platform,codename,product_found,submitted_date,title,hsd_link
14028451848,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/13/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101hs0405][BKC OKS-DMR-AP-26.32.5.115][MCE] Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410 during AtScale: Cold Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028451848
14028423586,p2-high,open.awaiting_triage,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/09/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101ds0304][MCE] Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410 during AtScale: Warm Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028423586
14028377796,p2-high,open.new,unknown,Birch Stream Platform,CWF,Avenue City,08/02/2026,"[Cluster][CTRLS CWF_AP B0][cs17ca101ls0609][Master][Coredump] segfault coredump",https://hsdes.intel.com/appstore/article/#/14028377796
14028372275,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101hs0107][MCE] Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410, Bank 6 during AtScale: Warm Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028372275
14028372274,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101hs0107][MCE] Machine Check Bank 15 MSCOD phoenix_undeterminable during AtScale: Warm Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028372274
14028337412,p2-high,open.awaiting_triage,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/28/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101hs0106][MCE Without Reboot] McBank 0 class CORRECTED MSCOD phoenix_undeterminable during AtScale: sandstone combo",https://hsdes.intel.com/appstore/article/#/14028337412
14028337081,p2-high,open.awaiting_triage,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/28/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101js0601][MCE Without Reboot] McBank 0 class CORRECTED MSCOD phoenix_undeterminable during AtScale: sandstone combo",https://hsdes.intel.com/appstore/article/#/14028337081
14028270011,p2-high,open.awaiting_debug,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/17/2026,"[ATSCALE-SFT][DMR UCC][jf53nor09bs0302][SFT][Coredump] not ok sandstone 251 apx mrn_rmw_avx2 coredump during AtScale:SDE:PAIV-Mixer_random_workloads",https://hsdes.intel.com/appstore/article/#/14028270011
22022874732,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/12/2026,"[SHARED][PAIV.Security][DMR UCC][cs16ca101gs0403][Coredump] systemd creds socket Credential Encryption Decryption during Sandstone on TD guest (Linux)",https://hsdes.intel.com/appstore/article/#/22022874732
14028200436,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/07/2026,"[ATSCALE-SFT][Outside NGA EXC][DMR UCC][jf11x1703as0110][SFT][Coredump] not ok sandstone 182 mesh_upi_avx512_256 sandstone 210 prng2_mt19937_64 coredump",https://hsdes.intel.com/appstore/article/#/14028200436
