hsd_id,platform,owner,root_cause,evidence_score,validation_score,golden_score,suggested_tier,confidence,evidence_found,validation_found,blockers,recommendation
14023750934,CWF,gmuppala,,20,45,65,SILVER,65,ATTACHMENTS;OWNER,REPRODUCTION;PASS_FAIL_EXPERIMENT,,RANK_ONLY
14023830786,CWF,gmuppala,,20,25,45,BRONZE,45,ATTACHMENTS;OWNER,REPRODUCTION,,RANK_ONLY
14018231367,GNR,diegog3,,10,25,35,BRONZE,35,OWNER,PASS_FAIL_EXPERIMENT;RELATED_VALIDATED_CASE,,RANK_ONLY
14023010765,GNR,srkeesar,,10,25,35,BRONZE,35,OWNER,PASS_FAIL_EXPERIMENT;RELATED_VALIDATED_CASE,,RANK_ONLY
14018914786,GNR,kvannam,,10,15,25,BRONZE,25,OWNER,ENGINEER_AGREEMENT,,RANK_ONLY
13010785698,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010785700,GNR,dtoralva,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010785701,GNR,dtoralva,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010785702,GNR,dtoralva,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788085,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788087,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788089,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788090,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788091,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13010788093,GNR,jadelaoy,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141637,SRF,jessielu,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141638,SRF,linmatt2,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141639,SRF,linmatt2,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141640,SRF,linmatt2,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141641,SRF,linmatt2,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141642,SRF,jessielu,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
