hsd_id,source_query_id,status,domain,owner,title_or_summary,unknown_reason,missing_field,next_action
13013365493,16027523187,rejected,MCA,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013365497,16027523187,rejected,MCA,hkuzhicx,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14021933054,16022833305,open,PCIe/CXL,jquianzo,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14022039307,16022833305,open,PCIe/CXL,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013367911,16027523187,rejected,MCA,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013368252,16027523187,rejected,MCA,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
22019703105,16022833305,open,MCA,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
22019799080,16022833305,open,MCA,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013364737,16027523187,rejected,Other,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013365077,16027523187,rejected,Memory,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013365080,16027523187,rejected,Other,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013368254,16027523187,rejected,MCA,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13013368257,16027523187,rejected,MCA,shashish,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
13014085149,16027523187,rejected,Memory,ryakkati,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14021914647,16022833305,open,MCA,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14021933048,16022833305,open,Other,jquianzo,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14022048858,16022833305,open,MCA,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027087976,14012297882,open,Other,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027098529,14012297882,open,Other,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027098531,14012297882,open,Other,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027098532,14012297882,open,Other,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027098533,14012297882,open,PCIe/CXL,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027147092,14012297882,open,Other,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027184382,14012297882,open,Memory,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027184398,14012297882,open,Memory,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027187022,14012297882,open,Memory,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
14027187037,14012297882,open,Memory,rbalaji,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
22019684757,16022833305,open,PCIe/CXL,jquianzo,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
22019741379,16022833305,open,PCIe/CXL,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
22019783231,16022833305,open,MCA,vimarti,,Platform did not match GNR/SRF/CWF/DMR/COR normalization,platform/product_found/family_affected or recognized platform token,Read HSD summary/title and assign platform before review
